Name,Region,Elo,Regional League Rank
ManCity,England,2024,1
Liverpool,England,1980,1
Tottenham,England,1864,1
Arsenal,England,1860,1
Chelsea,England,1851,1
ManUnited,England,1800,1
Brighton,England,1777,1
Newcastle,England,1755,1
WestHam,England,1754,1
CrystalPalace,England,1747,1
Brentford,England,1727,1
Leicester,England,1725,1
AstonVilla,England,1708,1
Wolves,England,1706,1
Leeds,England,1701,1
Everton,England,1687,1
Southampton,England,1668,1
Fulham,England,1651,1
Bournemouth,England,1632,1
Forest,England,1595,1
Burnley,England,1659,2
SheffieldUnited,England,1616,2
Norwich,England,1579,2
Watford,England,1562,2
WestBrom,England,1508,2
Luton,England,1505,2
Blackburn,England,1501,2
Preston,England,1500,2
Huddersfield,England,1499,2
Millwall,England,1496,2
QPR,England,1493,2
Middlesbrough,England,1488,2
Stoke,England,1483,2
Swansea,England,1469,2
BristolCity,England,1462,2
Coventry,England,1452,2
Cardiff,England,1450,2
Sunderland,England,1444,2
Rotherham,England,1440,2
Wigan,England,1440,2
Blackpool,England,1439,2
Hull,England,1425,2
Reading,England,1420,2
Birmingham,England,1411,2
RealMadrid,Spain,2004,1
Barcelona,Spain,1898,1
Atletico,Spain,1862,1
Villarreal,Spain,1857,1
Betis,Spain,1801,1
Sevilla,Spain,1779,1
Sociedad,Spain,1760,1
Bilbao,Spain,1752,1
Celta,Spain,1709,1
Osasuna,Spain,1697,1
Valencia,Spain,1694,1
Getafe,Spain,1654,1
Espanyol,Spain,1639,1
Valladolid,Spain,1638,1
RayoVallecano,Spain,1627,1
Almeria,Spain,1626,1
Mallorca,Spain,1624,1
Girona,Spain,1619,1
Cadiz,Spain,1607,1
Elche,Spain,1602,1
Levante,Spain,1661,2
Granada,Spain,1631,2
Eibar,Spain,1627,2
Alaves,Spain,1604,2
LasPalmas,Spain,1584,2
Oviedo,Spain,1582,2
Huesca,Spain,1545,2
Tenerife,Spain,1536,2
Leganes,Spain,1531,2
Cartagena,Spain,1530,2
Burgos,Spain,1514,2
Zaragoza,Spain,1509,2
Gijon,Spain,1496,2
Ponferradina,Spain,1494,2
Lugo,Spain,1480,2
IbizaEivissa,Spain,1469,2
Albacete,Spain,1464,2
Mirandes,Spain,1461,2
VillarrealB,Spain,1460,2
AndorraCF,Spain,1452,2
Malaga,Spain,1436,2
Santander,Spain,1431,2
Bayern,Germany,1965,1
Dortmund,Germany,1792,1
RBLeipzig,Germany,1766,1
Leverkusen,Germany,1754,1
UnionBerlin,Germany,1748,1
Freiburg,Germany,1737,1
Frankfurt,Germany,1725,1
Gladbach,Germany,1713,1
Hoffenheim,Germany,1690,1
Koeln,Germany,1690,1
Mainz,Germany,1674,1
Wolfsburg,Germany,1659,1
Stuttgart,Germany,1622,1
Werder,Germany,1605,1
Hertha,Germany,1599,1
Augsburg,Germany,1595,1
Schalke,Germany,1576,1
Bochum,Germany,1564,1
Hamburg,Germany,1587,2
Darmstadt,Germany,1547,2
Paderborn,Germany,1547,2
Bielefeld,Germany,1516,2
Duesseldorf,Germany,1514,2
Heidenheim,Germany,1510,2
StPauli,Germany,1485,2
Holstein,Germany,1473,2
Karlsruhe,Germany,1461,2
Hannover,Germany,1459,2
Fuerth,Germany,1455,2
Nuernberg,Germany,1448,2
Sandhausen,Germany,1434,2
Rostock,Germany,1414,2
Lautern,Germany,1405,2
Regensburg,Germany,1398,2
Braunschweig,Germany,1360,2
Magdeburg,Germany,1356,2
ParisSG,France,1896,1
Marseille,France,1742,1
Monaco,France,1737,1
Lyon,France,1732,1
Rennes,France,1719,1
Lens,France,1705,1
Lille,France,1692,1
Nice,France,1656,1
Strasbourg,France,1644,1
Nantes,France,1629,1
Reims,France,1592,1
Lorient,France,1572,1
Montpellier,France,1572,1
Toulouse,France,1563,1
Troyes,France,1553,1
Brest,France,1551,1
Clermont,France,1543,1
Auxerre,France,1523,1
Angers,France,1520,1
Ajaccio,France,1473,1
Bordeaux,France,1511,2
Sochaux,France,1508,2
Metz,France,1492,2
Saint-Etienne,France,1487,2
Guingamp,France,1480,2
ParisFC,France,1476,2
Caen,France,1450,2
LeHavre,France,1435,2
Amiens,France,1424,2
Dijon,France,1403,2
Nimes,France,1396,2
Valenciennes,France,1394,2
Grenoble,France,1387,2
Bastia,France,1379,2
Pau,France,1364,2
Rodez,France,1352,2
Annecy,France,1335,2
Niort,France,1332,2
USQuevilly,France,1320,2
Laval,France,1315,2
Ajax,Netherlands,1888,1
PSV,Netherlands,1753,1
Feyenoord,Netherlands,1730,1
Alkmaar,Netherlands,1663,1
Twente,Netherlands,1604,1
Utrecht,Netherlands,1524,1
Heerenveen,Netherlands,1500,1
Vitesse,Netherlands,1492,1
SpartaRotterdam,Netherlands,1486,1
Groningen,Netherlands,1456,1
Waalwijk,Netherlands,1448,1
Nijmegen,Netherlands,1423,1
Sittard,Netherlands,1398,1
Cambuur,Netherlands,1398,1
Excelsior,Netherlands,1395,1
GoAheadEagles,Netherlands,1383,1
Emmen,Netherlands,1375,1
Volendam,Netherlands,1360,1
Milan,Italy,1854,1
Inter,Italy,1852,1
Napoli,Italy,1846,1
Juventus,Italy,1769,1
Atalanta,Italy,1754,1
Lazio,Italy,1748,1
Roma,Italy,1743,1
Udinese,Italy,1676,1
Fiorentina,Italy,1649,1
Sassuolo,Italy,1642,1
Torino,Italy,1638,1
Verona,Italy,1625,1
Bologna,Italy,1602,1
Sampdoria,Italy,1560,1
Empoli,Italy,1545,1
Spezia,Italy,1533,1
Lecce,Italy,1526,1
Salernitana,Italy,1525,1
Monza,Italy,1505,1
Cremonese,Italy,1483,1
Cagliari,Italy,1537,2
Genoa,Italy,1537,2
Brescia,Italy,1501,2
Benevento,Italy,1495,2
Frosinone,Italy,1460,2
Ascoli,Italy,1457,2
Venezia,Italy,1449,2
Cittadella,Italy,1447,2
Parma,Italy,1445,2
Spal,Italy,1421,2
Pisa,Italy,1419,2
Perugia,Italy,1409,2
Reggina,Italy,1409,2
Ternana,Italy,1401,2
Bari,Italy,1378,2
Palermo,Italy,1359,2
Como,Italy,1359,2
Suedtirol,Italy,1351,2
Cosenza,Italy,1348,2
Modena,Italy,1341,2
Benfica,Portugal,1818,1
Porto,Portugal,1801,1
Sporting,Portugal,1784,1
Braga,Portugal,1694,1
Guimaraes,Portugal,1519,1
GilVicente,Portugal,1507,1
Boavista,Portugal,1486,1
Famalicao,Portugal,1481,1
Portimonense,Portugal,1477,1
SantaClara,Portugal,1475,1
Estoril,Portugal,1452,1
CasaPia,Portugal,1445,1
Chaves,Portugal,1435,1
RioAve,Portugal,1425,1
Maritimo,Portugal,1420,1
PacosFerreira,Portugal,1409,1
Vizela,Portugal,1405,1
Arouca,Portugal,1398,1
Salzburg,Austria,1762,1
SturmGraz,Austria,1554,1
LASK,Austria,1520,1
RapidWien,Austria,1497,1
AustriaWien,Austria,1487,1
Wolfsberg,Austria,1463,1
Klagenfurt,Austria,1402,1
Wattens,Austria,1401,1
Lustenau,Austria,1378,1
Hartberg,Austria,1377,1
Ried,Austria,1358,1
Altach,Austria,1341,1
Zenit,Russia,1699,1
CSKAMoskva,Russia,1554,1
Sochi,Russia,1547,1
SpartakMoskva,Russia,1538,1
DynamoMoskva,Russia,1531,1
FCKrasnodar,Russia,1527,1
Rostov,Russia,1498,1
LokMoskva,Russia,1472,1
TerekGrozny,Russia,1445,1
KryliyaSovetov,Russia,1425,1
NizhnyNovgorod,Russia,1398,1
FCKhimki,Russia,1387,1
Sverdlovsk,Russia,1365,1
FakelVoronezh,Russia,1319,1
Orenburg,Russia,1317,1
TorpedoMoskva,Russia,1270,1
Brugge,Belgium,1698,1
Antwerp,Belgium,1568,1
Genk,Belgium,1558,1
StGillis,Belgium,1550,1
Anderlecht,Belgium,1550,1
Gent,Belgium,1546,1
Charleroi,Belgium,1464,1
StTruiden,Belgium,1462,1
Mechelen,Belgium,1442,1
Leuven,Belgium,1436,1
Standard,Belgium,1399,1
CercleBrugge,Belgium,1398,1
Oostende,Belgium,1378,1
Kortrijk,Belgium,1353,1
Westerlo,Belgium,1352,1
ZulteWaregem,Belgium,1339,1
Eupen,Belgium,1317,1
Seraing,Belgium,1298,1
DinamoZagreb,Croatia,1688,1
Hajduk,Croatia,1538,1
Osijek,Croatia,1480,1
Rijeka,Croatia,1399,1
LokZagreb,Croatia,1364,1
HNKGorica,Croatia,1340,1
SlavenBelupo,Croatia,1315,1
Istra1961,Croatia,1291,1
Varazdin,Croatia,1274,1
Sibenik,Croatia,1266,1
Rangers,Scotland,1679,1
Celtic,Scotland,1652,1
Hearts,Scotland,1334,1
Aberdeen,Scotland,1324,1
Hibernian,Scotland,1318,1
Livingston,Scotland,1317,1
StMirren,Scotland,1273,1
Motherwell,Scotland,1273,1
RossCounty,Scotland,1268,1
StJohnstone,Scotland,1256,1
DundeeUnited,Scotland,1254,1
Kilmarnock,Scotland,1233,1
Shakhtar,Ukraine,1666,1
DynamoKyiv,Ukraine,1587,1
Zorya,Ukraine,1486,1
Dnipro,Ukraine,1437,1
Kolos,Ukraine,1384,1
Olexandriya,Ukraine,1362,1
Vorskla,Ukraine,1350,1
Veres,Ukraine,1315,1
RukhLviv,Ukraine,1299,1
MetalKharkiv,Ukraine,1270,1
Metalist1925,Ukraine,1254,1
Inhulets,Ukraine,1246,1
FCLviv,Ukraine,1244,1
Kryvbas,Ukraine,1234,1
Chernomorets,Ukraine,1228,1
Mynai,Ukraine,1212,1
Vaduz,Switzerland,1401,1
YoungBoys,Switzerland,1653,2
Basel,Switzerland,1565,2
StGallen,Switzerland,1529,2
Luzern,Switzerland,1484,2
Zuerich,Switzerland,1484,2
Servette,Switzerland,1471,2
Sion,Switzerland,1460,2
Lugano,Switzerland,1457,2
Grasshoppers,Switzerland,1444,2
Winterthur,Switzerland,1328,2
SlaviaPraha,Czechia,1647,1
ViktoriaPlzen,Czechia,1622,1
SpartaPraha,Czechia,1519,1
Slovacko,Czechia,1491,1
SlovanLiberec,Czechia,1396,1
BanikOstrava,Czechia,1393,1
MladaBoleslav,Czechia,1381,1
SigmaOlomouc,Czechia,1368,1
Jablonec,Czechia,1352,1
HradecKralove,Czechia,1351,1
BohemiansPraha,Czechia,1336,1
CeskeBudejovice,Czechia,1317,1
Brno,Czechia,1281,1
TescomaZlin,Czechia,1274,1
Pardubice,Czechia,1268,1
Teplice,Czechia,1260,1
CrvenaZvezda,Serbia,1627,1
Partizan,Serbia,1533,1
Cukaricki,Serbia,1335,1
BackaTopola,Serbia,1282,1
NoviSad,Serbia,1256,1
VozdovacBeograd,Serbia,1251,1
NoviPazar,Serbia,1231,1
Nis,Serbia,1222,1
MladostLucani,Serbia,1172,1
Zlatibor,Serbia,1153,1
RadnikSurdulica,Serbia,1151,1
Krusevac,Serbia,1145,1
KolubaraLazarevac,Serbia,1138,1
Ivanjica,Serbia,1095,1
MladostNoviSad,Serbia,1080,1
Kragujevac,Serbia,1067,1
Molde,Norway,1626,1
BodoeGlimt,Norway,1580,1
Rosenborg,Norway,1494,1
Viking,Norway,1443,1
Valerenga,Norway,1442,1
Lillestrom,Norway,1438,1
Haugesund,Norway,1372,1
Tromso,Norway,1370,1
Stromsgodset,Norway,1365,1
OddGrenland,Norway,1356,1
Sarpsborg,Norway,1354,1
Kristiansund,Norway,1326,1
Sandefjord,Norway,1295,1
Ham-Kam,Norway,1294,1
Aalesund,Norway,1280,1
Jerv,Norway,1208,1
Fenerbahce,Turkey,1609,1
Bueyueksehir,Turkey,1577,1
Trabzonspor,Turkey,1540,1
Besiktas,Turkey,1513,1
Galatasaray,Turkey,1511,1
Konyaspor,Turkey,1495,1
Alanyaspor,Turkey,1465,1
Antalyaspor,Turkey,1443,1
AdanaDemirspor,Turkey,1437,1
Kasimpasa,Turkey,1437,1
FatihKaraguemruek,Turkey,1419,1
Sivasspor,Turkey,1419,1
GaziantepFK,Turkey,1416,1
Kayseri,Turkey,1389,1
Hatayspor,Turkey,1387,1
Giresunspor,Turkey,1363,1
Istanbulspor,Turkey,1320,1
Umraniyespor,Turkey,1316,1
Ankaraguecue,Turkey,1307,1
MaccabiHaifa,Israel,1602,1
MTelAviv,Israel,1564,1
Beer-Sheva,Israel,1495,1
Netanya,Israel,1389,1
KiryatShmona,Israel,1367,1
BneiSakhinin,Israel,1346,1
HTelAviv,Israel,1345,1
Ashdod,Israel,1309,1
HapoelEranHadera,Israel,1298,1
Beitar,Israel,1298,1
HapoelJerusalem,Israel,1287,1
HapoelHaifa,Israel,1276,1
MaccabiBneiRaina,Israel,1237,1
SektziaNesTziona,Israel,1216,1
Olympiakos,Greece,1568,1
PAOK,Greece,1475,1
Panathinaikos,Greece,1466,1
Aris,Greece,1424,1
AEK,Greece,1419,1
AsterasTripolis,Greece,1296,1
NFCVolos,Greece,1289,1
Atromitos,Greece,1282,1
Giannina,Greece,1276,1
Ionikos,Greece,1273,1
Panetolikos,Greece,1251,1
OFI,Greece,1246,1
Levadeiakos,Greece,1211,1
Lamia,Greece,1202,1
FCKobenhavn,Denmark,1560,1
Midtjylland,Denmark,1524,1
Randers,Denmark,1461,1
Brondby,Denmark,1459,1
Nordsjaelland,Denmark,1441,1
Silkeborg,Denmark,1439,1
Viborg,Denmark,1419,1
Aalborg,Denmark,1413,1
Aarhus,Denmark,1376,1
Odense,Denmark,1368,1
Horsens,Denmark,1302,1
Lyngby,Denmark,1268,1
Razgrad,Bulgaria,1547,1
CSKASofia,Bulgaria,1431,1
Levski,Bulgaria,1379,1
ChernoMore,Bulgaria,1335,1
CSKA1948Sofia,Bulgaria,1312,1
LokPlovdiv,Bulgaria,1304,1
SlaviaSofia,Bulgaria,1252,1
BotevPlovdiv,Bulgaria,1248,1
Arda,Bulgaria,1241,1
BeroeStaraZagora,Bulgaria,1227,1
LokSofia,Bulgaria,1167,1
BotevVratsa,Bulgaria,1120,1
SeptemvriSofia,Bulgaria,1117,1
Blagoevgrad,Bulgaria,1115,1
Hebar,Bulgaria,1102,1
SpartakVarna,Bulgaria,1072,1
Ferencvaros,Hungary,1538,1
Kisvarda,Hungary,1374,1
Videoton,Hungary,1355,1
PuskasAkademia,Hungary,1340,1
Paksi,Hungary,1319,1
Ujpest,Hungary,1287,1
Honved,Hungary,1270,1
Zalaegerszegi,Hungary,1270,1
Kecskemeti,Hungary,1230,1
Debrecen,Hungary,1225,1
Mezokovesd-Zsory,Hungary,1224,1
VasasSC,Hungary,1188,1
KarabakhAgdam,Azerbaijan,1528,1
Neftchi,Azerbaijan,1317,1
Zira,Azerbaijan,1299,1
Gabala,Azerbaijan,1293,1
Djurgarden,Sweden,1515,1
Malmoe,Sweden,1463,1
Hammarby,Sweden,1457,1
AIK,Sweden,1438,1
Haecken,Sweden,1429,1
Elfsborg,Sweden,1407,1
Goeteborg,Sweden,1388,1
Kalmar,Sweden,1382,1
Mjaellby,Sweden,1363,1
Norrkoeping,Sweden,1350,1
IKSirius,Sweden,1294,1
Varbergs,Sweden,1290,1
Varnamo,Sweden,1272,1
Degerfors,Sweden,1234,1
Helsingborg,Sweden,1221,1
Sundsvall,Sweden,1158,1
SheriffTiraspol,Moldova,1506,1
SfintulGheorghe,Moldova,1271,1
Petrocub,Moldova,1249,1
MilsamiOrhei,Moldova,1239,1
CFRCluj,Romania,1496,1
Steaua,Romania,1461,1
Craiova,Romania,1458,1
Viitorul,Romania,1371,1
Sepsi,Romania,1348,1
RapidBucuresti,Romania,1334,1
Botosani,Romania,1326,1
Voluntari,Romania,1292,1
UTAArad,Romania,1289,1
Craiova1948,Romania,1278,1
Hermannstadt,Romania,1276,1
PetrolulPloiesti,Romania,1251,1
ChindiaTargoviste,Romania,1228,1
UniversitateaCluj,Romania,1222,1
Mioveni,Romania,1211,1
Rakow,Poland,1490,1
Lech,Poland,1454,1
Pogon,Poland,1436,1
Legia,Poland,1401,1
PiastGliwice,Poland,1392,1
Plock,Poland,1352,1
Cracovia,Poland,1342,1
Gornik,Poland,1333,1
Warta,Poland,1323,1
Lechia,Poland,1321,1
Jagiellonia,Poland,1316,1
Radomiak,Poland,1310,1
Lubin,Poland,1299,1
Slask,Poland,1288,1
StalMielec,Poland,1283,1
Widzew,Poland,1263,1
Korona,Poland,1248,1
MiedzLegnica,Poland,1210,1
ApollonLemesos,Cyprus,1473,1
Larnaca,Cyprus,1445,1
Omonia,Cyprus,1444,1
APOEL,Cyprus,1417,1
ArisLimassol,Cyprus,1398,1
FKAstana,Kazakhstan,1374,1
Kairat,Kazakhstan,1278,1
Kyzylzhar,Kazakhstan,1259,1
Tobol,Kazakhstan,1234,1
SlovanBratislava,Slovakia,1348,1
Trnava,Slovakia,1345,1
Dunajska,Slovakia,1341,1
Ruzomberok,Slovakia,1330,1
OlimpijaLjubljana,Slovenia,1344,1
Mura,Slovenia,1309,1
Maribor,Slovenia,1287,1
Koper,Slovenia,1267,1
Domzale,Slovenia,1252,1
Celje,Slovenia,1247,1
Radomlje,Slovenia,1206,1
Bravo,Slovenia,1204,1
TaborSezana,Slovenia,1139,1
NovaGorica,Slovenia,1119,1
Kuopio,Finland,1343,1
HJKHelsinki,Finland,1316,1
Seinajoki,Finland,1254,1
InterTurku,Finland,1220,1
BATE,Belarus,1302,1
Soligorsk,Belarus,1302,1
DinamoMinsk,Belarus,1271,1
DinamoBrest,Belarus,1184,1
Gomel,Belarus,1181,1
NemanGrodno,Belarus,1137,1
TorpedoZhodino,Belarus,1123,1
Isloch,Belarus,1111,1
SlaviaMozyr,Belarus,1091,1
Slutsk,Belarus,1066,1
FKVitebsk,Belarus,1063,1
ZvyazdaBDU,Belarus,1055,1
FKMinsk,Belarus,1034,1
DneprMogilev,Belarus,996,1
Bobruisk,Belarus,994,1
Dzarzhynsk,Belarus,991,1
FKRiga,Latvia,1284,1
RFS,Latvia,1263,1
Liepajas,Latvia,1233,1
Valmieras,Latvia,1188,1
ZrinjskiMostar,Bosnia-Herzegovina,1249,1
TuzlaCity,Bosnia-Herzegovina,1228,1
VelezMostar,Bosnia-Herzegovina,1204,1
BoracBanjaLuka,Bosnia-Herzegovina,1189,1
Suduva,Lithuania,1248,1
ZalgirisVilnius,Lithuania,1244,1
Panevezys,Lithuania,1141,1
KaunoZalgiris,Lithuania,1116,1
Vikingur,Iceland,1214,1
Breidablik,Iceland,1198,1
KRReykjavik,Iceland,1196,1
Shamrock,Ireland,1211,1
Sligo,Ireland,1210,1
StPatricks,Ireland,1199,1
DerryCity,Ireland,1185,1
Shkendija,North Macedonia,1210,1
AkademijaPandev,North Macedonia,1078,1
Makedonija,North Macedonia,1078,1
Shkupi,North Macedonia,1064,1
Decic,North Macedonia,1062,1
PartizaniTirana,Albania,1198,1
Laci,Albania,1194,1
Vllaznia,Albania,1184,1
Tirana,Albania,1146,1
Batumi,Georgia,1197,1
Saburtalo,Georgia,1183,1
DilaGori,Georgia,1169,1
DinamoTbilisi,Georgia,1163,1
Drita,Kosovo,1154,1
Ballkani,Kosovo,1062,1
Llapi,Kosovo,1040,1
KFGjilani,Kosovo,1033,1
FloraTallinn,Estonia,1138,1
PaideLinnameeskond,Estonia,1035,1
FCInfonet,Estonia,1015,1
Pyunik,Armenia,1131,1
Alashkert,Armenia,1121,1
Ararat,Armenia,1106,1
TheNewSaints,Wales,1103,1
ConnahsQuay,Wales,1044,1
Bala,Wales,1011,1
NewtownAFC,Wales,1002,1
Hamrun,Malta,1096,1
GziraUnited,Malta,1052,1
Floriana,Malta,1048,1
HiberniansPaola,Malta,1042,1
Linfield,Northern Ireland,1095,1
Larne,Northern Ireland,1078,1
Crusaders,Northern Ireland,1064,1
Cliftonville,Northern Ireland,1059,1
Danilovgrad,Montenegro,1059,1
Podgorica,Montenegro,1022,1
Sutjeska,Montenegro,1013,1
Differdang,Luxembourg,1059,1
Dudelange,Luxembourg,1057,1
RLetzebuerg,Luxembourg,1043,1
FolaEsch,Luxembourg,1043,1
Klaksvik,Faroe Islands,1058,1
HBTorshavn,Faroe Islands,1003,1
Gota,Faroe Islands,1002,1
B36Torshavn,Faroe Islands,992,1
Lincoln,Gibraltar,974,1
StJosephs,Gibraltar,934,1
CollegeEuropa,Gibraltar,930,1
FCBMagpies,Gibraltar,877,1
Escaldes,Andorra,809,1
Escale,Andorra,800,1
AtleticClubEscaldes,Andorra,798,1
TreFiori,San Marino,741,1
TrePenne,San Marino,692,1
LaFiorita,San Marino,670,1
